Activity ID,StartDtTm,Latitude,Longitude,Incident Brief:,Incident Involved:,Level of Investigation:,IMO Classification:,USCG Classification:,Was This a Serious Marine Incident?,Was a Marine Board Convened by Commandant?
4784760,16-Jan-14,39.17,-75.25666667,"On 16 January 2014 t/v CHEMICAL PIONEER got u/w from Philadelphia, PA bound for Sewaren, NJ. While transiting the Delaware Bay the aft line shaft bearing overheated and the vessel was not able to make enough way to transit out of Delaware Bay with the flood tide. Master slowed vessel and anchored.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4792259,31-Jan-14,39.605,-75.56833333,CSAV LONCOMILLA suffered failure of sea water cooling intake valve. Loss of cooling water caused shutdown of Main Engine and Generators. Approximately 150 cubic meters of sea water flooded into engine room. Vessel anchored. Repairs were made to the satisfaction of GL Surveyor.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4813900,16-Jan-14,39.24333333,-75.305,The M/V RICKMERS HAMBURG suffered a loss of propulsion due to a loss of lube oil circulation. The filter was changed out and the engine started up without a problem.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4819430,18-Mar-14,39.8485,-75.33683333,"On 3/18/2014 at 0915, the container vessel INDEPENDENT ACCORD was approaching Penn Terminals in Chester, PA to moor. The vessel's engine failed to respond to astern propulsion commands from the bridge. The vessel moved to Marcus Hook Anchorage to troubleshoot the issue. Technicians determined a faulty RMPE unit, used to enact remote engine commands from the bridge, was the cause.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4819450,13-Mar-14,37,-34.71666667,"On March 13, 2014 at 1100, freight vessel OCEAN GIANT, O.N. 1240963, enroute from Gibralter to Philadelphia, PA, lost propulsion due to failed fuel pump.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4846671,28-Jun-13,39.70937333,-75.51398667,"The Wisteria Ace was getting underway from its berth at the Port of Wilmington Marine Terminal when it experienced a loss of maneuverability. The main engine did not respond ahead nor astern to the corresponding bridge telegraph orders. A check by the 1st Assistant Engineer revealed the main cause to be the remote control system air line for the Ahead Valve 004A to the cam shaft safety device coming loose from the union that connects the two piping systems because of vibration. Engineers also found a loose start air line for the Start Valve 004C to the start air Auto Stop. This loose pipeline could have added to the reason for failure of the MDE to start. The cause of the piping coming loose from the connecting unions was determined to be vibration over time. To remedy this problem, a bracket was fabricated and welded (as shown on the photographic evidence sheet) to support and minimize the effects of starting air pressure vibration in the piping system.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4856571,09-May-14,39.70666667,-75.50666667,"On 5/9/14 at 2130, the tanker LIBERTY BAY was underway on the Delaware River for sea trials. An engine sensor indicated the presence of water in the engine oil sump. The vessel proceeded to General Anchorage #6 near Deepwater, NJ and anchored and secured the engine. Later, four tugs were used to tow the vessel to Rhoades Shipyard in Philadelphia.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
4876820,14-May-14,39.08566667,-75.21766667,"On 5/14/14 at 0434, the tanker POWER was getting underway from Bigstone Anchorage in Delaware Bay enroute the Sunoco FT Mifflin terminal in Philadelphia, PA. While enroute the #2 steering pump failed and was reset several times. The pump would fail each time the rudder was set hard to starboard.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5097704,06-Apr-15,39.84833333,-75.34,Pilot on board called Sector Delaware Bay Command Center to report that the M/V Prince of Seas momentarily lost propulsion whilst mooring up at Penn Terminal. The loss of propulsion lasted less than 1 minute. Vessel was being assisted by one tug during mooring.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5109877,22-Apr-15,39.07333333,-75.17666667,On 22 April at approx 0300 the STAR PRIDE was transiting up into the Delaware Bay when the vessel experienced a loss of propulsion.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5724368,30-Aug-15,38.83333842,-75.0835762,"On August 30, 2015 at approximately 12:30 EDT, during its inbound transit toward Delaware Bay/River from the Atlantic Ocean, the foreign-flagged bulk freighter M/V CAP FERRAT experienced a loss of propulsion on approach to the pilot boarding area at Cape Henlopen, DE. While maneuvering at the pilot boarding area, the bridge controls for main engine were activated from all stop position at which time the engine did not respond. After embarkation of the pilot the vessel dropped anchor and the engineering crew isolated the problem to a faulty automatic unloader valve for the air compressor. Repairs were made and the vessel transited to the Breakwater Anchorage as directed by Sector Delaware Bay to await further instructions and USCG/class attendance. Repairs and operational tests conducted at Breakwater Anchorage were verified by vessel's attending classification society surveyor. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the automatic unloader valve for the air compressor which led to the failure of the main engine to respond to pilothouse orders thus causing a loss of maneuverability. The causative factors include the poor condition of the air compressor's automatic unloader valve (which was leaky), and quite possibly the length of time (2.5years) between published planned maintenance of the air compressor components.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5752948,26-Oct-15,38.77608342,-75.05593872,"Pilot on board the M/V HANSA FREYBURG called to report that upon boarding the vessel the main engine was tested and found astern propulsion from the bridge controls was inoperative. The vessel master reported similar problems occurring at 0045 on the CG-2692. At the time this occurred the main engine could be controlled from the local control for astern propulsion. This vessel experienced loss of propulsion issues when last in Sector Delaware Bay's AOR on 28 SEP 15. Vessel was directed to Breakwater Anchorage to await Coast Guard examination and attendance by a surveyor from the vessel's classification society. New replacement seals were installed in the high pressure fuel pumps, but fuel leakage (although lessened) still occurred. Following transit up river to berth the classification surveyor attended the vessel again and found renewed excessive fuel leakage. Surveyor determined the wrong non-OEM parts (seals) were used to make repairs to fuel pumps. Excessive fuel leakage lead to a reduction in fuel pressure.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5764131,30-Oct-15,39.72116667,-75.50518333,"On 29 October 2015, at approx. 2118, the M/V STAR KVARVEN was turning from the Christina River upbound into the Delaware River with tug assist. While making the upbound turn to port the docking pilot experienced difficulties getting the vessel to come to port. During the maneuver he called for half astern bell from slow ahead to help position the vessel in the channel. The vessels main engine attempted to restart sereval times but failed start in reverse. Pilot then successfully anchored the vessel using the assist tug and bow and stern thrusters. The investigation revealed that the #2 and #3 cylinder burst discs had ruptured as designed due to an over pressurization of the two cylinders that occurred while attempting to restart the main engine. The cause of the over pressurization of the #2 and #3 cylinders due to leaking fuel oil injectors. The leaking injectors allowed for fuel to accumulate in the engine cylinders while the engine had stopped. When the engine was restarted the fuel ignited causing the cylinder burst discs to rupture.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5772015,16-Nov-15,39.47686543,-75.56508636,"At approximately 1630 EST on 16 November 2015 the refrigerated ship EVEREST BAY experienced a loss of electrical power (blackout) near Reedy Island Range in the Delaware River. Electrical power was quickly restored and no damage occured. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was a loss of fuel pressure to the number two generator. This was followed by a momentary loss of steering and propusion. The causal factor that contributed to this casualty was likely the low viscosity of the Low Sulfur Marine Gas Oil the vessel was operating on as required by regulation.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5779078,08-Dec-15,39.58463859,-75.57040514,"On December 8, 2015 at approximately 0328 the M/T C.S. STEALTH suffered a loss of propulsion and was adrift in the Delaware River, IVO Delaware City, DE. After approximately 10-12 minutes during which the engineers investigated and found a stuck fuel pump valve as keeping the engine from starting. Prior to finding this, the multiple start orders had depleted the start air supply. The chief engineer was able to manually actuate the valve allowing the engine to start once sufficient air pressure had built up in the start air bottles. Vessel then continued to facility to discharge. Upon docking, the vessel replaced the number 2 fuel pump puncture valve due to the fact that it was malfunctioning. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the malfunctioning of the Vessels M/E #2 Fuel Pump Puncture Valve. The Causal Factor that contributed to this casualty was (1) Vessels ME PMS oversight (Attention to Detail).","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5779222,10-Dec-15,39.58256062,-75.56761093,"On December 10, 2015 at approx 0105EST the M/V Crystal Bay was transiting outbound to sea when the vessel recieved a high temp alarm for the number 7 cylinder piston cooling system. Thinking there was an urgent need to shut the engine down to prevent further damage based on the alarm, the pilot immediately anchored the vessel at Pea Patch island anchorage and ordered the engine shut down. As a result of its investigation, the Coast Guard has determined that the initiating event was the shutdown of the main engine. Upon further investigation, it was found that the differential pressure sensor/switch was faulty and thus giving the alarm of the subject cylinder. The associated oil flow switch that is controlled by the differential pressure switch was found to be in the correct position and working normally. All associated cylinder and engine components were examined and nothing abnormal was found. Although no loss of maneuverability would have occurred had the alarm been ignored or silenced since the sensor was faulty, it was treated as a marine casualty and reported and dealt with as such by all parties. The causal factor that contributed to this casualty was deemed to be a faulty differential pressure sensor/switch.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5807382,30-Jan-16,39.35531667,-75.4487,"At approximately 0033 EST on January 30, 2016 the M/V DITLEV REEFER, a foreign flagged refrigerated cargo ship, lost main source of electrical power during its outbound voyage down the Delaware River. The vessel also lost propulsion and began drifting out of the channel. As a result, the port anchor was dropped in order to keep the vessel from going aground. Vessel anchored at Bombay Hook Anchorage within the Delaware River. Crewmembers and attending classification surveyor determined the loss of power and loss of propulsion was caused by the unexpected closure of a quick closing valve on the fuel supply line for the low sulfur marine gas oil daily tank (LSMGO). The valve had been operationally tested on January 28, 2016 in preparation for a Coast Guard Port State Control Examination and not properly reset. The vessel remained at the anchorage until necessary repairs were made and verified. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the unintended closure of the quick closing valve. As soon as the valve closed it secured fuel to the auxiliary generators and main engine causing that machinery to shut down. The casual factor contributing to this incident includes a lack of verification procedures in place to ensure quick closing valves for fuel supply lines are properly reset following operational testing of the valves.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5807504,29-Jan-16,39.88344472,-75.16683197,"At approximately 0605 EST on January 29, 2016 the car carrier HOEGH BERLIN lost propulsion just prior to mooring at Wilmington Marine Terminal, Wilmington, DE. The vessel was loaded with cars to be discharged at the Port of Wilmington. The HOEGH BERLIN had transited to Wilmington from Baltimore, MD via the C&D canal with a previous port call in Jacksonville, FL. The loss of propulsion occurred prior to mooring with tug assistance on scene. The vessel moored without incident with tug assistance and use of the bow thruster. No damage occurred. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the Ahead/Astern pneumatic valve unit. The casual factor that contributed to this casualty was insufficient maintenance of the Ahead/Astern pneumatic valve unit.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5810097,04-Feb-16,39.90194951,-75.13408756,"On 2/4/16 at approximately 0600 EST the M/V BOMAR REGENT (formerly the MELL SAYANG), a 161 meter container ship, was transiting inbound on the Delaware River making preparations to moor at Packer Ave Terminal. The pilot attempted to slow the vessel by ordering a dead slow astern bell, however the main engine failed to respond after several attempts and the pilot ordered the starboard anchor dropped. The two assist tugs made off to the vessel and it was safely brought to the pier and moored. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of several components of the main engine including broken piston rings in cylinders 2,3,4 and 7; excessive wear in all main engine fuel pumps; incorrect lube oil injection timing; and abnormal condition of all camshaft position sensors. The causal factors that contributed to this casualty include: (1)equipment failure due to excessive main engine running hours between component rebuild (2)no means of preventing a loss of propulsion by having a secondary means of propulsion.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5817623,18-Feb-16,39.2339,-75.30725,"At approximately 0320 EST on February 18, 2016 the M/T EAGLE KINARUT, a foreign flagged tank ship, lost propulsion during its outbound voyage down the Delaware River/Bay. The temperature for the Main Engine (M/E) cooling water increased to the point that high temperature alarms sounded and consequently resulted in a shutdown of the M/E. In approximately 15 minutes of the shutdown vessel crew corrected the problem and restarted the M/E in order to regain propulsion. Vessel was directed to anchor at Big Stone Anchorage in order to have a classification society surveyor attend the vessel to verify proper operation of the M/E. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the automatic temperature controller to place the M/E sea water cooling bypass valve in the correct position. This failure resulted in a continuous recirculation of the sea water in the cooling system. Thus the temperature of the cooling water continued to increase to the point that high temperature alarms were activated that consequently resulted in the M/E shut down. The casual factor contributing to this incident includes 1) a stuck actuator 2) lack of policy directing crewmembers to verify actuator is properly maintained prior to the vessel maneuvering.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5824169,28-Feb-16,39.72052778,-75.52528787,"At approximately 0043 EST on February 28, 2016, the refer vessel ICE GRACE lost propulsion while proceeding to moor at Wilmington Marine terminal in Wilmington, DE. The vessel was made fast to two assist tugs so no damage occurred. The vessel moored without incident with the assistance of the two tugs. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the pneumatic control valve. This resulted in a loss of propulsion. The causal factor that contributed to this casualty was an apparent failure to perform routine maintenance on the pneumatic control system.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5828466,01-Mar-16,39.71781579,-75.51440647,"At approximately 0445 EST on March 1, 2016, the refer vessel ICE GRACE lost propulsion while proceeding to moor at Wilmington Marine terminal in Wilmington, DE from the Wilmington Anchorage. The vessel was made fast to two assist tugs and brought to pier without further incident. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the pneumatic control valve #29R (Starting time limit valve). This resulted in a loss of propulsion. The causal factor that contributed to this casualty was an apparent failure to perform routine maintenance on the pneumatic control system.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5843480,28-Mar-16,39.88239092,-75.15859222,"At approximately 0836 EDT on 28 March 2016 the container vessel MSC FEDERICA was transiting outbound the Delaware River IVO Horseshoe Bend when the vessel experienced a reduction in maneuverability. The pilot onboard maneuvered vessel with bow and stern thrusters until crew investigated and repaired the problem. The troubleshooting conducted by the crew found that there was excessive water contamination in the fuel oil system. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the fuel oil purifier flushing water valve. The valve had become stuck with paraffin wax and as a result failed to open allowing water to overflow into the fuel oil system. The contaminated fuel oil then caused the vessels main engine to run erratically. The casual factor that contributed to this casualty was lack of maintenance due to the valve not being a regularly scheduled maintenance item.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5845047,31-Mar-16,39.79777039,-75.41539764,At approximately 2340 EDT on 3/30/16 the tank vessel ALPINE MIA was transiting upbound on the Delaware River headed for Marcus Hook Anchorage. The pilot was making preparations to anchor the vessel and brought the main engine to all stop to slow the vessel down. After several moments the pilot called for an astern bell and the engine failed to restart. The pilot then ordered the anchor dropped as the vessel was approaching its originally intended anchoring position. As a result of its investigation the Coast Guard has determined that the initiating event for this casualty was the failure of the #6 starting air valve gasket which caused the main engine to fail to start. The vessel subsequently lost propulsion.,"Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5865780,28-Apr-16,39.56083333,-75.5445,"At approximately 1740 EDT on April 28, 2016, the M/T CORAL SEA, an 814' crude oil tankship, was transiting downbound on the Delaware River from Paulsboro, NJ to Delaware City, DE when its main engine failed to start in astern propulsion as it was making preparations to make berth at the Delaware City terminal. Upon recognition of the failure of the engine to start in astern propulsion, the pilot in command aborted the vessel's approach to the terminal and opted to anchor at Reedy Point anchorage to determine cause, effect repair, and await attendance from concerned parties. As a result of its investigation, the U. S. Coast Guard determined that the initiating event for this casualty was the material failure of the nos. 1 and 3 air start valves on the main propulsion engine followed by failure of the engine to start. The causal factors for this incident include: 1.) The poor condition of the start air valves, namely the #1 and #6 valves. 2.) The loss of compressed air for engine starting due to the #1 and #6 start air valve leaks. 3.) The lack of a redundant source of compressed air for engine starting in the event of a failure of the start air reservoir to maintain proper pressure.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5869418,04-May-16,39.71567575,-75.51019698,"On 04 May 2016, at approximately 1130, the M/V MARIANNA was transiting the Delaware River inbound to the Port of Wilmington to offload cargo. The pilot had called for all stop in order to slow the vessel, when he ordered the main engine slow astern, the engine failed to restart. The vessel was made off to two towing vessels at the time of the incident and subsequently anchored. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was an equipment failure of the main engine fuel oil pressure sensor and fuel oil regulating valve which prevented the engine from regulating the correct amount of fuel to restart, leading to the loss of propulsion. The casual factors that contributed to this casualty include: 1.) The faulty condition of the fuel oil pressure sensor and regulating valve before the incident occurred.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5900357,23-May-16,39.60811728,-75.5889473,"At approximately 0400 EST on May 23, 2016 the Tug CHRISTIANA lost steering in the Delaware River near Salem Anchorage. At the time of the incident the tug was towing the tank barge DS 143 loaded with 105,000 bbls of CSO. No damage occurred. The vessel was able to use the the bow thruster and engines to maneuver. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the bolts securing the steering ram crossover valve to the steering system's piping. The causal factor that contributed to this casualty was excess wastage of the bolts.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5917424,23-Jun-16,39.62924243,-75.58199468,"On June 23, 2016 at approximately 1150 EDT the M/V IRENES REMEDY was transiting the Delaware River outbound IVO Pea Patch Island when the #1 main engine cylinder developed a cooling water leak. The crew witnessed the leak and isolated the #1 cylinder, resulting in main engine reduced maneuverability. Pilot safely anchored the vessel so crew could repair problem. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was an equipment failure caused by a crack in the main engine #1 cylinder cover cooling jacket, allowing cooling water to leak. This was followed by a reduction in maneuverability due to the #1 cylinder lock out. The causal factor that contributed to this casualty was the faulty condition of the cooling jacket of the cylinder cover for the #1 cylinder.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5923442,27-Jun-16,39.89833333,-75.13333333,"At approximately 0755 EST on June 27, 2016 the container ship MSC SARISKA experienced a loss of propulsion just after getting underway from Packer Avenue Marine Terminal. Assist tugs were still in close proximity when the pilot discovered the main engine would not start. Due to the vessel's inability to effectively maneuver with thrusters alone, the docking pilot had to call back the tugs to help the vessel return to the dock. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the the main propulsion engine's failure to start. The causal factor that contributed to this casualty was a broken o-ring in the pneumatic two-position, three-way valve which prevents fuel injection to the main engine.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5948024,14-Jul-16,38.62666667,-74.89666667,"On 14 July 2016 at approximately 0430, the articulated tug and barge OSG HONOUR was pushing the OSG 209 outbound of the Delaware Bay Entrance. The assistant engineer on watch advised the chief engineer that the generators were in parallel but the amps and voltage were running high. The chief engineer immediately went to the generators in order to prevent a loss of power but did not make it in time. At approximately 0438, the OSG HONOUR sustained a loss of power. Immediately following the loss of power, the vessel had a brief loss of steering. Emergency steering, powered by the tow back-up winch, was engaged until the vessel’s power was restored. The chief engineer found both generators still running but the breakers had tripped. Through troubleshooting the generators, the chief engineer found the static voltage regulator not operating properly. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the static voltage regulator on the starboard generator. This subsequently led to the loss of power when the generators breakers tripped. Lastly, the loss of power caused a brief loss of steering until emergency steering could be engaged. The causal factor that contributed to this casualty was the faulty static voltage regulator in the starboard generator.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
5948119,17-Jul-16,39.90307799,-75.13337872,"On 17 July 2016 at approximately 2130 EDT, the container ship BOMAR REGENT was on the Delaware River, near Packer Avenue Marine Terminal, Philadelphia, PA, maneuvering to moor to the facility. The docking pilot utilized the bridge order telegraph to order the engine ""dead slow astern"". The engine did not respond and the vessel sustained a loss of propulsion. The port anchor was deployed until sufficient tugs were on scene to assist the vessel to safely moor. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure to overhaul the number 1 and 5 main engine high pressure fuel pumps. In addition, the DNV-GL surveyor indicated there may have been a problem with the low sulfur fuel on board. The OEM for the MAN Diesel engine recommended a viscosity of greater than 2 centistrokes (CST) but the previous bunker report indicated the a delivery of low sulfur fuel less than 1 CST. The causal factors that contributed to this casualty include: (1) lack of equipment maintenance, (2) improper utilization of fuel oil.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
6033996,25-Oct-16,39.90409456,-75.12613079,"At approximately 1615 EST on October 25, 2016, the Refer/Container Ship LUZON STRAIT lost propulsion as it left Holt Terminal's dock 7A in Gloucester, NJ. No damage occurred and the vessel was able to set its anchor. Tugs brought the vessel back to the dock without incident. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was loss of propulsion (engine stopped). The causal factor that contributed to this casualty was an emergency stop valve that had been accidentally closed during maintenance work by non-crew maintenance personnel.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
6036870,27-Oct-16,40.15,-74.73333333,"At approximately 2151 EST on October 26, 2016, the foreign flagged bulk carrier AGGELOS B experienced a loss of propulsion due to a failure of the main engine to start shortly after leaving the dock at Fairless Hills, PA. The docking tugs that were already attending the vessel were able to have the vessel moored back at the dock approximately 50 minutes after it had unmoored. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the failure of the main engine to start. The causal factor that contributed to to this casualty was a defective air start solenoid valve.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
6065883,31-Dec-16,30.45287151,-73.1484375,"On December 31, 2016, at approximately 0200 LT, the Tug EXPLORER was towing the Ro-Ro barge FORTALEZA from San Juan, Puerto Rico to Philadelphia, PA when the vessel experienced an equipment failure within the #2 generator. While the AB was conducting a round of the engine room, he noted sparks coming from the #2 generator housing, at the same time the 2/M noted the lights flickering and started the #1 generator, attempting to shift the load. The #2 generator tripped offline before the 2/M could shift power causing the vessel to lose power momentarily. The cause of the casualty was the loose wiring connections inside of the #2 generator housing causing the 440 leads to come in contact with each other. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the loose connections inside the #2 generator housing. The causal factor that contributed to this casualty was the design of the elctrical system, in that the generators could not be paralleled.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
6068185,20-Dec-16,38.93833333,-75.17,"At approximately 0044 EST on December 20, 2016, the oil tanker BEIJING SPIRIT lost propulsion while attempting to anchor at Big Stone Anchorage, Delaware Bay. The vessel was required to drop anchor prior to its intended target to avoid grounding. No damage occurred. As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the loss of propulsion. The causal factors that contributed to this casualty include: (1) improperly returning the telegraph to stop after a failed attempt to start, (2) not having both start air bottles online, (3) excessive speed for astern propulsion, and (4) minimal fuel viscosity.","Marine Casualty, Reportable",Informal,Routine,Routine,No,No
